N_event,t_trig,tP1,tP2,tP3
510,11.599,3114,3113,3113
511,11.615,3113,3113,3113
512,11.647,3114,3113,3113
513,11.663,3114,3113,3113
514,11.679,3113,3113,3113
515,11.695,3113,3113,3112
516,11.711,3113,3113,3113
517,11.727,3114,3110,3113
518,11.759,3114,3110,3113
519,11.775,3113,3113,3113
520,11.791,3114,3114,3113
521,11.807,3114,3113,3113
522,11.823,3113,3113,3112
523,11.839,3113,3113,3113
524,11.855,3113,3113,3113
525,11.887,3114,3113,3113
526,11.903,3114,3114,3113
527,11.919,3113,3113,3112
528,11.935,3114,3114,3113
529,11.951,3113,3113,3113
530,11.967,3113,3113,3113
531,11.999,3113,3113,3112
532,12.015,3113,3113,3113
533,12.031,3113,3113,3113
534,12.047,3114,3113,3113
535,12.063,3113,3113,3113
536,12.079,3113,3113,3113
537,12.111,3114,3113,3113
538,12.127,3114,3114,3113
539,12.143,3114,3114,3113
540,12.159,3113,3113,3113
541,12.175,3113,3113,3112
542,12.191,3113,3113,3113
543,12.223,3113,3113,3113
544,12.239,3113,3113,3113
545,12.255,3113,3113,3113
546,12.271,3113,3113,3113
547,12.287,3113,3113,3113
548,12.303,3113,3113,3113
549,12.319,3113,3113,3113
550,12.351,3113,3113,3113
551,12.367,3113,3113,3113
552,12.383,3113,3113,3113
553,12.399,3113,3113,3112
554,12.415,3114,3113,3113
555,12.431,3113,3113,3113
556,12.463,3113,3113,3112
557,12.479,3113,3113,3113
558,12.495,3113,3113,3113
559,12.511,3114,3114,3113
560,12.527,3114,3113,3113
561,12.543,3113,3113,3113
562,12.575,3113,3113,3113
563,12.591,3113,3113,3113
564,12.607,3114,3113,3113
565,12.623,3107,3113,3113
566,12.639,3114,3113,3113
567,12.655,3114,3114,3113
568,12.687,3113,3113,3112
569,12.703,3113,3113,3113
570,12.719,3114,3114,3113
571,12.735,3113,3113,3113
572,12.751,3114,3113,3113
573,12.767,3114,3114,3113
574,12.783,3114,3113,3113
575,12.815,3114,3113,3113
576,12.831,3113,3113,3112
577,12.847,3113,3113,3113
578,12.863,3113,3113,3113
579,12.879,3114,3114,3113
580,12.895,3113,3113,3113
581,12.927,3113,3113,3113
582,12.943,3113,3113,3112
583,12.959,3114,3114,3113
584,12.975,3113,3113,3113
585,12.991,3113,3113,3112
586,13.007,3113,3113,3112
587,13.039,3113,3113,3112
588,13.055,3113,3113,3113
589,13.071,3113,3113,3112
590,13.087,3113,3113,3113
591,13.103,3113,3113,3113
592,13.119,3113,3113,3113
593,13.151,3114,3114,3113
594,13.167,3113,3113,3112
595,13.183,3113,3113,3112
596,13.199,3114,3114,3113
597,13.215,3113,3113,3113
598,13.231,3114,3110,3113
599,13.247,3114,3114,3113
600,13.279,3113,3113,3113
601,13.295,3113,3113,3113
602,13.311,3114,3114,3113
603,13.327,3113,3113,3112
604,13.343,3113,3113,3112
605,13.359,3114,3114,3113
606,13.391,3113,3113,3113
607,13.407,3113,3113,3113
608,13.423,3113,3113,3113
609,13.439,3113,3113,3113
610,13.455,3113,3113,3112
611,13.471,3114,3113,3113
612,13.503,3114,3113,3113
613,13.519,3114,3114,3113
614,13.535,3114,3113,3113
615,13.551,3114,3113,3113
616,13.567,3113,3113,3112
617,13.583,3113,3113,3113
618,13.615,3113,3113,3113
619,13.631,3113,3113,3113
620,13.647,3114,3114,3113
621,13.663,3113,3113,3113
622,13.679,3113,3113,3113
623,13.696,3113,3113,3113
624,13.711,3114,3114,3113
625,13.743,3113,3113,3113
626,13.759,3113,3113,3113
627,13.775,3113,3113,3113
628,13.791,3114,3113,3113
629,13.807,3114,3110,3113
630,13.823,3113,3113,3113
631,13.855,3114,3110,3113
632,13.871,3113,3113,3113
633,13.887,3114,3113,3113
634,13.903,3114,3114,3113
635,13.919,3114,3114,3113
636,13.935,3113,3113,3113
637,13.967,3113,3113,3113
638,13.983,3107,3113,3113
639,13.999,3113,3113,3113
640,14.015,3113,3113,3112
641,14.031,3113,3113,3112
642,14.047,3113,3113,3113
643,14.063,3113,3113,3113
644,14.095,3114,3114,3113
645,14.111,3113,3113,3113
646,14.127,3113,3113,3112
647,14.143,3113,3113,3112
648,14.159,3113,3113,3113
649,14.175,3114,3113,3113
650,14.207,3113,3113,3112
651,14.223,3113,3113,3113
652,14.239,3113,3113,3112
653,14.255,3114,3114,3113
654,14.271,3113,3113,3113
655,14.287,3113,3113,3113
656,14.319,3114,3110,3113
657,14.335,3114,3113,3113
658,14.351,3107,3113,3113
659,14.367,3113,3113,3113
660,14.383,3114,3113,3113
661,14.399,3113,3113,3113
662,14.431,3113,3113,3113
663,14.447,3114,3113,3113
664,14.463,3113,3113,3113
665,14.479,3114,3113,3113
666,14.495,3113,3113,3112
667,14.511,3113,3113,3112
668,14.528,3113,3113,3112
669,14.559,3113,3113,3113
670,14.575,3113,3113,3113
671,14.591,3113,3113,3112
672,14.607,3113,3113,3113
673,14.623,3114,3114,3113
674,14.639,3114,3114,3113
675,14.671,3114,3114,3113
676,14.687,3114,3114,3113
677,14.703,3113,3113,3113
678,14.719,3107,3113,3113
679,14.735,3113,3113,3113
680,14.751,3113,3113,3112
681,14.783,3114,3114,3113
682,14.799,3113,3113,3113
683,14.815,3114,3113,3113
684,14.831,3113,3113,3112
685,14.847,3113,3113,3112
686,14.863,3114,3113,3113
687,14.895,3113,3113,3113
688,14.911,3113,3113,3113
689,14.927,3114,3114,3113
690,14.943,3114,3114,3113
691,14.959,3113,3113,3113
692,14.975,3114,3114,3113
693,14.991,3114,3113,3113
694,15.023,3113,3113,3113
695,15.039,3114,3110,3113
696,15.055,3114,3114,3113
697,15.071,3114,3113,3113
698,15.087,3113,3113,3113
699,15.103,3113,3113,3112
700,15.136,3113,3113,3113
701,15.151,3113,3113,3113
702,15.167,3113,3113,3113
703,15.183,3113,3113,3112
704,15.199,3114,3113,3113
705,15.215,3113,3113,3113
706,15.247,3114,3113,3113
707,15.263,3111,3113,3113
708,15.279,3114,3113,3113
709,15.295,3113,3113,3112
710,15.311,3113,3113,3112
711,15.328,3113,3113,3113
712,15.359,3114,3114,3113
713,15.375,3114,3114,3113
714,15.391,3107,3113,3113
715,15.407,3114,3113,3113
716,15.423,3113,3113,3113
717,15.439,3114,3114,3113
718,15.455,3113,3113,3113
719,15.487,3113,3113,3113
720,15.503,3113,3113,3113
721,15.519,3113,3113,3113
722,15.535,3114,3110,3113
723,15.551,3113,3113,3113
724,15.567,3114,3114,3113
725,15.599,3114,3114,3113
726,15.615,3113,3113,3113
727,15.631,3113,3113,3113
728,15.647,3113,3113,3113
729,15.663,3114,3113,3113
730,15.679,3113,3113,3113
731,15.711,3113,3113,3113
732,15.727,3114,3110,3113
733,15.743,3113,3113,3112
734,15.759,3114,3113,3113
735,15.775,3113,3113,3113
736,15.791,3113,3113,3112
737,15.823,3114,3113,3113
738,15.839,3114,3114,3113
739,15.855,3107,3113,3113
740,15.871,3114,3113,3113
741,15.887,3114,3114,3113
742,15.903,3113,3113,3113
743,15.919,3113,3113,3113
744,15.951,3114,3113,3113
745,15.967,3114,3113,3113
746,15.983,3113,3113,3113
747,15.999,3114,3113,3113
748,16.015,3114,3113,3113
749,16.031,3113,3113,3113
750,16.063,3113,3113,3113
751,16.079,3114,3110,3113
752,16.095,3114,3110,3113
753,16.111,3114,3113,3113
754,16.127,3113,3113,3112
755,16.143,3114,3113,3113
756,16.175,3113,3113,3112
757,16.191,3114,3113,3113
758,16.207,3114,3110,3113
759,16.223,3113,3113,3112
760,16.239,3113,3113,3112
761,16.255,3113,3113,3113
762,16.287,3113,3113,3113
763,16.303,3113,3113,3113
764,16.319,3113,3113,3113
765,16.335,3113,3113,3112
766,16.351,3113,3113,3112
767,16.367,3113,3113,3113
768,16.383,3113,3113,3113
769,16.415,3113,3113,3113
770,16.431,3113,3113,3113
771,16.447,3113,3113,3112
772,16.463,3113,3113,3112
773,16.479,3114,3113,3113
774,16.495,3113,3113,3112
775,16.527,3114,3114,3113
776,16.543,3114,3114,3113
777,16.559,3113,3113,3113
778,16.575,3113,3113,3113
779,16.591,3113,3113,3113
780,16.607,3113,3113,3113
781,16.639,3113,3113,3113
782,16.655,3113,3113,3112
783,16.671,3114,3114,3113
784,16.687,3113,3113,3112
785,16.704,3113,3113,3113
786,16.719,3113,3113,3113
787,16.751,3113,3113,3113
788,16.767,3113,3113,3113
789,16.783,3113,3113,3112
790,16.799,3113,3113,3112
791,16.815,3113,3113,3113
792,16.831,3114,3113,3113
793,16.847,3113,3113,3112
794,16.879,3113,3113,3113
795,16.895,3107,3113,3113
796,16.911,3113,3113,3113
797,16.927,3114,3114,3113
798,16.943,3107,3113,3113
799,16.959,3113,3113,3112
800,16.991,3113,3113,3113
801,17.007,3113,3113,3112
802,17.023,3113,3113,3112
803,17.039,3113,3113,3112
804,17.055,3113,3113,3112
805,17.071,3114,3113,3113
806,17.103,3113,3113,3113
807,17.119,3113,3113,3113
808,17.135,3114,3113,3113
809,17.151,3114,3110,3113
810,17.167,3114,3110,3113
811,17.183,3114,3110,3113
812,17.215,3114,3114,3113
813,17.231,3113,3113,3113
814,17.247,3113,3113,3113
815,17.263,3113,3113,3113
816,17.279,3113,3113,3113
817,17.295,3114,3113,3113
818,17.311,3113,3113,3113
819,17.343,3114,3114,3113
820,17.359,3113,3113,3113
821,17.375,3113,3113,3112
822,17.391,3114,3113,3113
823,17.407,3113,3113,3113
824,17.423,3113,3113,3113
825,17.455,3114,3113,3113
826,17.471,3113,3113,3112
827,17.487,3113,3113,3112
828,17.503,3113,3113,3112
829,17.519,3111,3113,3113
830,17.535,3114,3110,3113
831,17.567,3114,3113,3113
832,17.583,3114,3113,3113
833,17.599,3113,3113,3113
834,17.615,3114,3113,3113
835,17.631,3113,3113,3112
836,17.647,3113,3113,3113
837,17.679,3113,3113,3113
838,17.695,3113,3113,3112
839,17.711,3113,3113,3112
840,17.727,3113,3113,3113
841,17.743,3113,3113,3112
842,17.759,3114,3113,3113
843,17.775,3113,3113,3112
844,17.807,3113,3113,3112
845,17.823,3114,3114,3113
846,17.839,3113,3113,3113
847,17.855,3113,3113,3113
848,17.871,3113,3113,3112
849,17.887,3114,3114,3113
850,17.919,3114,3113,3113
851,17.935,3113,3113,3113
852,17.951,3113,3113,3113
853,17.967,3113,3113,3113
854,17.983,3114,3114,3113
855,17.999,3113,3113,3113
856,18.031,3114,3114,3113
857,18.047,3113,3113,3113
858,18.063,3113,3113,3112
859,18.079,3113,3113,3113
860,18.095,3113,3113,3113
861,18.111,3114,3114,3113
862,18.143,3107,3113,3113
863,18.159,3113,3113,3113
864,18.175,3113,3113,3113
865,18.191,3113,3113,3112
866,18.207,3113,3113,3113
867,18.223,3113,3113,3113
868,18.239,3114,3113,3113
869,18.271,3113,3113,3113
870,18.287,3113,3113,3113
871,18.303,3113,3113,3112
872,18.319,3113,3113,3112
873,18.335,3114,3114,3113
874,18.351,3113,3113,3113
875,18.383,3113,3113,3113
876,18.399,3113,3113,3113
877,18.415,3113,3113,3113
878,18.431,3114,3110,3113
879,18.447,3113,3113,3113
880,18.463,3113,3113,3113
881,18.495,3113,3113,3113
882,18.511,3113,3113,3113
883,18.527,3113,3113,3113
884,18.543,3113,3113,3113
885,18.559,3113,3113,3113
886,18.575,3113,3113,3113
887,18.607,3114,3114,3113
888,18.623,3114,3114,3113
889,18.639,3113,3113,3112
890,18.655,3107,3113,3113
891,18.671,3114,3113,3113
892,18.687,3113,3113,3113
893,18.703,3114,3114,3113
894,18.735,3114,3113,3113
895,18.751,3113,3113,3113
896,18.767,3114,3113,3113
897,18.783,3113,3113,3113
898,18.799,3113,3113,3113
899,18.815,3113,3113,3113
900,18.847,3113,3113,3112
901,18.863,3114,3110,3113
902,18.879,3113,3113,3113
903,18.895,3113,3113,3113
904,18.911,3114,3113,3113
905,18.927,3113,3113,3113
906,18.959,3113,3113,3113
907,18.975,3113,3113,3112
908,18.991,3113,3113,3112
909,19.007,3113,3113,3112
910,19.023,3113,3113,3112
911,19.039,3114,3114,3113
912,19.071,3113,3113,3113
913,19.087,3113,3113,3113
914,19.103,3113,3113,3113
915,19.119,3113,3113,3113
916,19.135,3113,3113,3113
917,19.151,3114,3114,3113
918,19.167,3113,3113,3113
919,19.199,3113,3113,3112
920,19.215,3113,3113,3113
921,19.231,3113,3113,3113
922,19.247,3114,3113,3113
923,19.263,3113,3113,3113
924,19.279,3113,3113,3113
925,19.311,3114,3113,3113
926,19.327,3113,3113,3113
